Year,Month,State,Crop,Wholesale_Price[Rs. Per Quintal],Temperature (Celsis),Rainfall in mm
2022,2,Haryana,Rice,3025,-0.3,15.3
2022,3,Haryana,Rice,2946,2.1,0.2
2022,4,Haryana,Rice,2996,2.4,0.5
2022,5,Haryana,Rice,3100,0.5,34.5
2022,6,Haryana,Rice,3162,0.4,36
2022,7,Haryana,Rice,2955,-0.3,220.4
2022,8,Haryana,Rice,2956,0.3,70
2022,9,Haryana,Rice,2875,-0.2,138.3
2022,10,Haryana,Rice,2895,-0.1,35.9
2022,11,Haryana,Rice,2839,0,0.3
2022,12,Haryana,Rice,2704,1.5,0
2022,1,Haryana,Bajra,1705,0.2,68
2022,2,Haryana,Bajra,1815,-0.3,15.3
2022,3,Haryana,Bajra,1998,2.1,0.2
2022,4,Haryana,Bajra,2056,2.4,0.5
2022,5,Haryana,Bajra,2098,0.5,34.5
2022,6,Haryana,Bajra,2125,0.4,36
2022,7,Haryana,Bajra,2024,-0.3,220.4
2022,8,Haryana,Bajra,2008,0.3,70
2022,9,Haryana,Bajra,1860,-0.2,138.3
2022,10,Haryana,Bajra,1775,-0.1,35.9
2022,11,Haryana,Bajra,1935,0,0.3
2022,12,Haryana,Bajra,2028,1.5,0
2022,1,Haryana,Wheat,2038,0.2,68
2022,2,Haryana,Wheat,2055,-0.3,15.3
2022,3,Haryana,Wheat,2130,2.1,0.2
2022,4,Haryana,Wheat,2056,2.4,0.5
2022,5,Haryana,Wheat,2058,0.5,34.5
2022,6,Haryana,Wheat,1983,0.4,36
2022,7,Haryana,Wheat,2043,-0.3,220.4
2022,8,Haryana,Wheat,2225,0.3,70
2022,9,Haryana,Wheat,2210,-0.2,138.3
2022,10,Haryana,Wheat,2335,-0.1,35.9
2022,11,Haryana,Wheat,2513,0,0.3
2022,12,Haryana,Wheat,2588,1.5,0
2022,1,Haryana,Barley,2275,0.2,68
2022,2,Haryana,Barley,2345,-0.3,15.3
2022,3,Haryana,Barley,2083,2.1,0.2
2022,4,Haryana,Barley,2788,2.4,0.5
2022,5,Haryana,Barley,2793,0.5,34.5
2022,6,Haryana,Barley,2628,0.4,36
2022,7,Haryana,Barley,2502,-0.3,220.4
2022,8,Haryana,Barley,2445,0.3,70
2022,9,Haryana,Barley,2506,-0.2,138.3
2022,10,Haryana,Barley,2668,-0.1,35.9
2022,11,Haryana,Barley,2953,0,0.3
2022,12,Haryana,Barley,2946,1.5,0
2022,1,Haryana,Potato,1038,0.2,68
2022,2,Haryana,Potato,975,-0.3,15.3
2022,3,Haryana,Potato,1050,2.1,0.2
2022,4,Haryana,Potato,1050,2.4,0.5
2022,5,Haryana,Potato,1375,0.5,34.5
2022,6,Haryana,Potato,1588,0.4,36
2022,7,Haryana,Potato,1710,-0.3,220.4
2022,8,Haryana,Potato,1825,0.3,70
2022,9,Haryana,Potato,1820,-0.2,138.3
2022,10,Haryana,Potato,1900,-0.1,35.9
2022,11,Haryana,Potato,1950,0,0.3
2022,12,Haryana,Potato,1390,1.5,0
2022,1,Haryana,Onion,2166,0.2,68
2022,2,Haryana,Onion,2333,-0.3,15.3
2022,3,Haryana,Onion,1644,2.1,0.2
2022,4,Haryana,Onion,1000,2.4,0.5
2022,5,Haryana,Onion,945,0.5,34.5
2022,6,Haryana,Onion,963,0.4,36
2022,7,Haryana,Onion,1320,-0.3,220.4
2022,8,Haryana,Onion,1401,0.3,70
2022,9,Haryana,Onion,1268,-0.2,138.3
2022,10,Haryana,Onion,1527,-0.1,35.9
2022,11,Haryana,Onion,1606,0,0.3
2022,12,Haryana,Onion,1586,1.5,0
2022,1,Haryana,Cotton,9518,0.2,68
2022,2,Haryana,Cotton,9795,-0.3,15.3
2022,3,Haryana,Cotton,9728,2.1,0.2
2022,4,Haryana,Cotton,11480,2.4,0.5
2022,5,Haryana,Cotton,12748,0.5,34.5
2022,6,Haryana,Cotton,11895,0.4,36
2022,7,Haryana,Cotton,9590,-0.3,220.4
2022,8,Haryana,Cotton,9853,0.3,70
2022,9,Haryana,Cotton,9460,-0.2,138.3
2022,10,Haryana,Cotton,8740,-0.1,35.9
2022,11,Haryana,Cotton,8648,0,0.3
2022,12,Haryana,Cotton,8506,1.5,0
2022,1,Maharashtra,Rice,2713,-1.6,9.2
2022,2,Maharashtra,Rice,2750,-0.8,0.3
2022,3,Maharashtra,Rice,2725,-0.2,1.3
2022,4,Maharashtra,Rice,2780,1.3,3
2022,5,Maharashtra,Rice,2800,1.4,5.3
2022,6,Maharashtra,Rice,2800,0.7,146.1
2022,7,Maharashtra,Rice,3110,0.3,528
2022,8,Maharashtra,Rice,3325,-0.6,279.8
2022,9,Maharashtra,Rice,3420,0.4,265.9
2022,10,Maharashtra,Rice,3500,0.2,132.3
2022,11,Maharashtra,Rice,3500,-0.3,0.3
2022,12,Maharashtra,Rice,3510,-1,1.1
2022,1,Maharashtra,Jowar,3138,-1.6,9.2
2022,2,Maharashtra,Jowar,3025,-0.8,0.3
